meaning,generated_word,model,language,trial,word_index,total_words_per_meaning
벌레가 기어가는 것처럼 살갗이 자꾸 또는 매우 간지럽고 자릿한 느낌.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2
벌레가 기어가는 것처럼 살갗이 자꾸 또는 매우 간지럽고 자릿한 느낌.,피루게키치,gpt-4-turbo,ko,trial10,2,2
물기나 풀기가 있는 물체의 거죽이 거의 말라서 빳빳한 상태.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2
물기나 풀기가 있는 물체의 거죽이 거의 말라서 빳빳한 상태.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2
"어린아이의 겨드랑이를 치켜들고 올렸다 내렸다 하며 어를 때에, 아이가 자꾸 다리를 오그렸다 폈다 하는 모양.",생성된 어휘,gpt-4-turbo,ko,trial10,1,2
"어린아이의 겨드랑이를 치켜들고 올렸다 내렸다 하며 어를 때에, 아이가 자꾸 다리를 오그렸다 폈다 하는 모양.",생성된 어휘,gpt-4-turbo,ko,trial10,2,2
몸집이 작은 사람이 엉덩이를 잇따라 흔드는 모양.,큐피론댄스,gpt-4-turbo,ko,trial10,1,2
몸집이 작은 사람이 엉덩이를 잇따라 흔드는 모양.,무키푸티롱,gpt-4-turbo,ko,trial10,2,2
조금 거만스럽게 잘난 체하며 버릇없이 자꾸 구는 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2
조금 거만스럽게 잘난 체하며 버릇없이 자꾸 구는 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2
분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2
분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2
분량이나 수효 따위가 어떤 범위나 한도에 여럿이 다 또는 매우 꽉 찬 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2
분량이나 수효 따위가 어떤 범위나 한도에 여럿이 다 또는 매우 꽉 찬 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2
다루기에 여럿이 다 또는 매우 가볍고 간편하거나 손쉬운 상태.,레이쥬빌,gpt-4-turbo,ko,trial10,1,2
다루기에 여럿이 다 또는 매우 가볍고 간편하거나 손쉬운 상태.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2
신이 나서 잘난 체하며 얄미울 정도로 자꾸 버릇없이 행동하는 모양.,프라뱅쥬히로,gpt-4-turbo,ko,trial10,1,2
신이 나서 잘난 체하며 얄미울 정도로 자꾸 버릇없이 행동하는 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2
분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2
분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2
