meaning,generated_word,model,language,trial,word_index,total_words_per_meaning,timestamp
벌레가 기어가는 것처럼 살갗이 자꾸 또는 매우 간지럽고 자릿한 느낌.,피리크시촉,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:36:48
벌레가 기어가는 것처럼 살갗이 자꾸 또는 매우 간지럽고 자릿한 느낌.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:36:48
물기나 풀기가 있는 물체의 거죽이 거의 말라서 빳빳한 상태.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:36:50
물기나 풀기가 있는 물체의 거죽이 거의 말라서 빳빳한 상태.,크란시토르,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:36:50
"어린아이의 겨드랑이를 치켜들고 올렸다 내렸다 하며 어를 때에, 아이가 자꾸 다리를 오그렸다 폈다 하는 모양.",시루노댄푸라,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:36:52
"어린아이의 겨드랑이를 치켜들고 올렸다 내렸다 하며 어를 때에, 아이가 자꾸 다리를 오그렸다 폈다 하는 모양.",케루딜빈쇼플,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:36:52
몸집이 작은 사람이 엉덩이를 잇따라 흔드는 모양.,모미두키로,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:36:55
몸집이 작은 사람이 엉덩이를 잇따라 흔드는 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:36:55
조금 거만스럽게 잘난 체하며 버릇없이 자꾸 구는 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:36:57
조금 거만스럽게 잘난 체하며 버릇없이 자꾸 구는 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:36:57
분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 모양.,플레쥬미톤,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:36:58
분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:36:58
분량이나 수효 따위가 어떤 범위나 한도에 여럿이 다 또는 매우 꽉 찬 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:37:00
분량이나 수효 따위가 어떤 범위나 한도에 여럿이 다 또는 매우 꽉 찬 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:37:00
다루기에 여럿이 다 또는 매우 가볍고 간편하거나 손쉬운 상태.,레비카루,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:37:03
다루기에 여럿이 다 또는 매우 가볍고 간편하거나 손쉬운 상태.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:37:03
신이 나서 잘난 체하며 얄미울 정도로 자꾸 버릇없이 행동하는 모양.,클리자베놋,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:37:05
신이 나서 잘난 체하며 얄미울 정도로 자꾸 버릇없이 행동하는 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:37:05
분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 모양.,샤프랑쥬,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:37:07
분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:37:07
분량이나 수효 따위가 어떤 범위나 한도에 여럿이 다 또는 매우 꽉 찬 모양.,차롱쥬메,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:37:09
분량이나 수효 따위가 어떤 범위나 한도에 여럿이 다 또는 매우 꽉 찬 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:37:09
다루기에 여럿이 다 또는 매우 가볍고 간편하거나 손쉬운 상태.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:37:11
다루기에 여럿이 다 또는 매우 가볍고 간편하거나 손쉬운 상태.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:37:11
액체가 많이 담기거나 괴어서 가장자리까지 찰 듯한 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:37:16
액체가 많이 담기거나 괴어서 가장자리까지 찰 듯한 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:37:16
목구멍에 가래 따위가 걸려 숨을 쉴 때 가치작거리는 소리.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:37:18
목구멍에 가래 따위가 걸려 숨을 쉴 때 가치작거리는 소리.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:37:18
목구멍에 가래 따위가 걸려 숨을 쉴 때 자꾸 가치작거리는 소리.,달쿠론뜨,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:37:20
목구멍에 가래 따위가 걸려 숨을 쉴 때 자꾸 가치작거리는 소리.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:37:20
여러 가닥으로 갈라지거나 찢어진 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:37:22
여러 가닥으로 갈라지거나 찢어진 모양.,리쉬모렐,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:37:22
작고 약한 불빛 따위가 사라질 듯 말 듯 자꾸 움직이는 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:37:24
작고 약한 불빛 따위가 사라질 듯 말 듯 자꾸 움직이는 모양.,플리놋슈르,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:37:24
군데군데 가무스름한 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:37:27
군데군데 가무스름한 모양.,헤이루모아,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:37:27
들기 좋을 정도로 여럿이 다 또는 매우 가벼운 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:37:29
들기 좋을 정도로 여럿이 다 또는 매우 가벼운 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,2,2,2025-05-05 16:37:29
가볍게 흔들려 자꾸 움직이는 모양.,생성된 어휘,gpt-4-turbo,ko,trial10,1,2,2025-05-05 16:37:32
